module_code,course_code,ordinal
CALC-M0,CALC,0
CALC-M10,CALC,10
CALC-M12,CALC,12
CALC-M5,CALC,5
CALC-M7,CALC,7
LINALG-M1,LINALG,1
LINALG-M2,LINALG,2
LINALG-M3,LINALG,3
LINALG-M4,LINALG,4
LINALG-M5,LINALG,5
LINALG-M6,LINALG,6
ML-M0,ML,0
PROB-M1,PROB,1
PROB-M2,PROB,2
PROB-M3,PROB,3
PROB-M6,PROB,6
PROB-M7,PROB,7
PROB-M8,PROB,8
